     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
20.04.2022; ;35;10;20;16;19;44;--;--;3;7617372;015486; 22.967.462,40;   Jackpot; 5.344.691,20;   Jackpot; 1.231.854,20;        25;    17.081,70;       183;     6.955,80;     1.572;       224,60;    13.400;        62,50;    32.558;        21,90;   284.855;        11,80;   258.135;         6,00
23.04.2022; ;47;32;29;13;34;38;--;--;6;0444123;347684; 46.018.592,40;   Jackpot; 8.796.085,60;         1; 3.730.286,80;        74;    11.704,30;       658;     3.923,50;     3.836;       186,70;    34.371;        49,40;    65.511;        22,10;   581.378;        11,70;   483.614;         6,00
27.04.2022; ;25; 3;17;19;46;40;--;--;8;2789905;724666; 24.210.321,60;         1;11.892.994,20;        --;           --;        51;     8.708,30;       378;     3.502,20;     2.300;       159,60;    21.750;        40,00;    40.777;        18,20;   377.683;         9,20;   291.415;         6,00
30.04.2022; ;25;14;48;20;44; 2;--;--;1;8502879;162900; 45.279.349,20;   Jackpot; 3.395.951,10;   Jackpot; 2.535.427,10;        33;    26.634,70;       459;     5.707,90;     2.562;       283,60;    25.763;        66,90;    48.332;        30,40;   510.170;        13,60;   390.146;         6,00
04.05.2022; ; 3;49;11;31;41; 4;--;--;2;7352853;155843; 23.579.038,80;         1; 5.164.379,00;         3; 1.269.837,60;        35;    12.619,50;       389;     3.384,40;     2.099;       174,00;    22.698;        38,10;    35.624;        20,70;   388.189;         8,90;   254.531;         6,00
07.05.2022; ; 5;14;43;35;34;26;--;--;2;9872624;458066; 44.485.616,40;   Jackpot; 3.336.421,20;         2; 1.245.081,80;        36;    23.979,30;       405;     6.353,50;     2.165;       329,70;    22.526;        75,10;    45.154;        31,90;   459.842;        14,80;   384.216;         6,00
11.05.2022; ;25;28;27;24;45; 2;--;--;4;0610745;204550; 26.594.512,80;   Jackpot; 5.331.009,60;   Jackpot; 1.429.352,90;        29;    17.086,50;       253;     5.837,90;     1.902;       215,40;    16.769;        57,90;    36.678;        22,60;   323.754;        12,00;   295.608;         6,00
14.05.2022; ;49;37;25;34;39;30;--;--;9;6770522;079518; 46.760.667,60;   Jackpot; 8.838.059,60;         6;   660.259,30;        81;    10.837,40;       762;     3.433,80;     4.112;       176,50;    36.700;        46,90;    67.025;        21,90;   599.526;        11,50;   498.655;         6,00
18.05.2022; ; 8;10;41;25;45;43;--;--;6;4921131;494655; 23.423.202,00;   Jackpot;10.594.799,70;         2;   626.676,90;        26;    16.711,30;       273;     4.744,00;     1.670;       215,10;    14.836;        57,40;    33.918;        21,40;   290.692;        11,80;   266.528;         6,00
21.05.2022; ;19; 3;44; 1; 4;30;--;--;4;8215500;473531; 46.204.176,00;         3; 4.686.704,30;         2; 1.226.479,80;        89;     9.554,50;       785;     3.228,90;     4.938;       142,40;    42.197;        39,50;    82.210;        17,30;   729.308;         9,20;   547.285;         6,00
25.05.2022; ;45; 5;15;28;32; 1;--;--;5;6323710;216853; 21.790.418,40;   Jackpot; 1.634.281,30;   Jackpot; 1.151.317,70;        39;    10.233,90;       290;     4.102,30;     2.064;       159,90;    14.490;        54,00;    36.540;        18,20;   262.727;        12,00;   264.246;         6,00
28.05.2022; ;10;20; 4; 1;25;36;--;--;1;3851333;524476; 43.427.856,00;   Jackpot; 4.891.370,50;         3; 1.180.455,80;        71;    11.669,70;       767;     3.219,90;     3.610;       189,70;    38.297;        42,40;    62.592;        22,10;   649.559;        10,00;   420.529;         6,00
01.06.2022; ;32;48; 2; 4; 9;42;--;--;9;8366693;016895; 22.913.799,60;   Jackpot; 6.609.905,40;   Jackpot; 1.239.848,80;        26;    16.531,30;       272;     4.710,20;     1.689;       210,40;    15.955;        52,80;    32.895;        21,80;   314.544;        10,80;   245.451;         6,00
04.06.2022; ;42; 6;33;11;23;34;--;--;4;9576551;241135; 45.821.727,60;   Jackpot;10.046.534,90;         1; 3.694.104,40;        77;    11.049,40;       908;     2.793,00;     4.461;       157,70;    41.750;        39,90;    72.570;        19,60;   683.641;         9,80;   518.755;         6,00
08.06.2022; ; 4;11;34;48; 1;33;--;--;1;3830913;904262; 23.018.749,20;   Jackpot;11.772.941,00;         1; 1.269.031,20;        25;    17.597,20;       256;     5.122,30;     1.568;       232,00;    15.130;        57,00;    28.736;        25,60;   305.153;        11,30;   220.460;         6,00
11.06.2022; ;25;11;17;44;22;29;--;--;8;7811523;143544; 45.909.633,60;   Jackpot;15.216.163,50;         2; 1.223.517,30;        62;    13.682,30;       520;     4.862,60;     3.606;       194,50;    31.145;        53,40;    69.328;        20,40;   605.853;        11,00;   533.005;         6,00
15.06.2022; ;21;30;29;44;11;47;--;--;0;4427224;495128; 24.669.202,80;   Jackpot;17.066.353,70;         2;   688.998,50;        33;    14.475,90;       296;     4.810,50;     1.282;       308,10;    14.973;        62,50;    27.097;        29,40;   292.877;        12,80;   216.294;         6,00
18.06.2022; ;18;37;23;45;26;46;--;--;2;6362341;078570; 47.475.750,00;         1;23.243.357,90;        --;           --;        71;    12.774,50;       617;     4.381,70;     3.404;       220,30;    33.961;        52,30;    60.399;        25,10;   599.639;        11,90;   455.840;         6,00
22.06.2022; ;34;46;23; 7;36;29;--;--;5;8019791;361541; 21.301.240,80;   Jackpot; 1.597.593,00;   Jackpot; 1.153.685,60;        26;    15.382,40;       210;     5.676,80;     1.389;       238,10;    12.537;        62,50;    28.611;        23,30;   239.572;        13,10;   226.965;         6,00
25.06.2022; ;33; 4;21;43; 2;28;--;--;5;7074049;898504; 43.377.517,20;   Jackpot; 4.850.906,70;         2; 1.736.423,10;        34;    23.646,30;       358;     6.694,00;     2.824;       235,40;    23.676;        66,60;    59.048;        22,70;   498.214;        12,70;   495.729;         6,00
29.06.2022; ;48;45;24;21;22;40;--;--;8;8633802;880844; 23.488.381,20;   Jackpot; 6.612.535,20;   Jackpot; 1.290.540,90;        16;    27.961,70;       243;     5.487,80;     1.409;       262,50;    12.429;        70,60;    27.971;        26,70;   254.639;        13,80;   229.826;         6,00
02.07.2022; ;20; 7;37;45; 8; 9;--;--;7;8418423;863218; 45.436.137,60;   Jackpot;10.020.245,50;         1; 3.536.411,70;        68;    11.449,50;       348;     6.668,70;     4.429;       145,30;    26.892;        56,70;    93.240;        13,90;   567.757;        10,80;   722.981;         6,00
06.07.2022; ;38;47;41;48; 1;26;--;--;6;3658696;674560; 23.959.616,40;   Jackpot;11.817.216,70;   Jackpot; 1.281.527,50;        30;    14.808,70;       205;     6.459,70;     1.738;       211,30;    14.706;        59,20;    35.577;        20,80;   292.888;        11,90;   273.220;         6,00
09.07.2022; ;19; 4;23;40;41;43;--;--;6;2524142;743022; 46.481.449,20;         1;15.303.325,30;         3; 1.256.784,40;        75;    11.503,90;       684;     3.759,90;     3.926;       181,70;    35.147;        48,10;    70.179;        20,50;   620.084;        10,90;   527.074;         6,00
13.07.2022; ;47;29;45;11;30;10;--;--;8;0721310;546920; 21.235.590,00;   Jackpot; 1.592.669,20;         2;   574.406,30;        27;    14.750,10;       246;     4.825,60;     1.503;       219,10;    13.591;        57,40;    29.179;        22,80;   263.731;        11,90;   227.729;         6,00
16.07.2022; ;22;23;17;15;26;20;--;--;8;4950313;943897; 43.518.991,20;   Jackpot; 4.856.593,50;         1; 2.357.345,80;        55;    14.858,40;       512;     4.757,60;     2.608;       259,10;    23.311;        68,70;    51.553;        26,50;   460.067;        14,00;   463.322;         6,00
20.07.2022; ;36;42;49;43; 2; 3;--;--;2;8431651;723418; 21.897.012,00;   Jackpot; 6.498.869,40;         1; 1.211.610,90;        19;    22.106,50;       195;     6.420,50;     1.184;       293,30;    11.483;        71,70;    24.872;        28,20;   244.413;        13,50;   204.804;         6,00
23.07.2022; ;47;13;49; 7;35; 6;--;--;3;4680084;690182; 44.256.789,60;   Jackpot; 9.818.128,60;         1; 2.313.779,30;        92;     8.718,50;       602;     3.971,60;     4.008;       165,40;    32.730;        48,00;    74.081;        18,10;   608.824;        10,40;   563.990;         6,00
27.07.2022; ;29;23;46;16;28; 1;--;--;0;2925352;026105; 22.914.566,40;   Jackpot;11.536.721,00;   Jackpot; 1.289.842,30;        23;    19.441,10;       189;     7.052,00;     1.168;       316,50;    12.190;        71,90;    23.516;        31,80;   251.108;        14,00;   189.957;         6,00
30.07.2022; ;33;19;27;34;25; 8;--;--;6;7819961;334034; 45.995.745,60;         1;14.986.401,90;         1; 3.714.021,00;        38;    22.115,30;       539;     4.647,40;     3.650;       190,30;    31.759;        51,90;    71.064;        19,70;   620.677;        10,70;   564.500;         6,00
03.08.2022; ;40;13;21;43;11; 5;--;--;9;8602541;920478; 21.262.351,20;   Jackpot; 1.594.676,30;         1; 1.156.173,40;        26;    15.415,60;       220;     5.430,50;     1.432;       231,40;    14.190;        55,40;    28.019;        23,90;   280.255;        11,30;   221.446;         6,00
06.08.2022; ; 1;30;27; 8;46;16;--;--;7;0299095;490444; 43.342.585,20;         1; 4.845.370,10;         2; 1.114.954,10;        69;    11.203,40;       561;     4.107,30;     4.147;       154,10;    28.719;        52,70;    76.647;        16,80;   530.202;        11,50;   592.424;         6,00
10.08.2022; ;24;10;18;22;27;26;--;--;2;4727372;790591; 20.812.269,60;   Jackpot; 1.560.920,20;         1; 1.131.490,20;        35;    11.207,10;       330;     3.543,00;     1.905;       170,20;    18.847;        40,80;    30.845;        21,20;   308.867;        10,00;   216.991;         6,00
13.08.2022; ;36; 6;28;16;20; 7;--;--;6;0484677;720132; 42.950.523,60;   Jackpot; 4.782.209,40;         1; 2.288.870,70;        46;    17.249,40;       456;     5.186,70;     3.590;       182,70;    28.003;        55,50;    68.265;        19,40;   545.624;        11,40;   499.139;         6,00
17.08.2022; ;17; 1;44;34;29;46;--;--;0;3900739;754913; 21.619.176,00;   Jackpot; 6.403.647,60;         2;   610.973,20;        14;    30.257,70;       305;     4.139,90;     1.297;       270,00;    13.713;        60,50;    22.351;        31,70;   249.861;        13,30;   173.640;         6,00
20.08.2022; ;26;19;40;36;32;12;--;--;1;0487652;982080; 43.530.870,00;   Jackpot; 9.668.462,80;         3;   794.389,90;        61;    13.543,60;       636;     3.872,00;     3.654;       186,90;    36.556;        44,30;    58.626;        23,50;   611.057;        10,60;   435.470;         6,00
24.08.2022; ;26;40;34; 7;15;49;--;--;6;6860554;732202; 22.546.450,80;   Jackpot;11.359.446,60;         1; 1.206.210,80;        26;    16.082,80;       210;     5.935,30;     1.466;       235,80;    12.859;        63,70;    30.478;        22,90;   260.288;        12,60;   256.806;         6,00
27.08.2022; ;18;16; 7;46;32;39;--;--;5;6678250;768418; 44.545.202,40;   Jackpot;14.700.336,70;         1; 2.345.951,80;        92;     8.839,80;       877;     2.764,10;     5.032;       133,60;    42.038;        37,90;    75.563;        18,00;   629.007;        10,20;   548.672;         6,00
31.08.2022; ;37;18;11;24; 5; 1;--;--;7;6687244;325246; 23.898.013,20;   Jackpot;16.492.687,60;         1; 1.187.567,00;        62;     6.640,10;       400;     3.067,80;     3.020;       112,70;    20.591;        39,20;    53.726;        12,80;   359.908;         9,00;   373.257;         6,00
03.09.2022; ;43; 3;36;39; 6;49;--;--;2;2081514;517017; 47.344.140,00;   Jackpot;20.043.498,10;         2; 1.301.652,10;        49;    18.417,90;       512;     5.254,00;     2.946;       253,30;    31.104;        56,90;    58.645;        25,70;   599.717;        11,80;   460.983;         6,00
07.09.2022; ;40;11;41;14;16; 8;--;--;3;6948194;210150; 25.401.955,20;   Jackpot;21.948.644,70;         3;   450.180,00;        37;    12.653,70;       249;     5.604,60;     1.919;       201,70;    15.543;        59,00;    38.001;        20,60;   313.265;        11,80;   298.705;         6,00
10.09.2022; ;42; 2;12;26; 1;13;--;--;9;9286078;817753; 49.018.804,80;         1;28.270.267,80;        --;           --;        51;    17.980,50;       592;     4.617,20;     3.725;       203,50;    35.407;        50,80;    71.473;        21,40;   675.567;        10,70;   533.040;         6,00
14.09.2022; ;48;39;11;16; 9; 2;--;--;5;0954112;119141; 21.357.284,40;   Jackpot; 1.601.796,30;         1; 1.117.490,90;        27;    14.348,00;       255;     4.528,30;     2.078;       154,10;    16.989;        44,70;    36.804;        17,60;   316.024;         9,60;   271.151;         6,00
17.09.2022; ;37; 2;46; 6;18; 3;--;--;5;1321991;370870; 43.274.052,00;   Jackpot; 4.847.350,20;         1; 2.279.163,00;        81;     9.754,40;       601;     3.918,60;     3.942;       165,70;    33.695;        45,90;    73.945;        17,80;   630.358;         9,90;   532.842;         6,00
21.09.2022; ;36; 8;30;48; 7;24;--;--;8;8868312;559233; 21.865.442,40;   Jackpot; 6.487.258,30;   Jackpot; 1.165.857,40;        27;    14.969,00;       216;     5.577,40;     1.730;       193,10;    14.228;        55,70;    33.560;        20,10;   274.562;        11,60;   253.405;         6,00
24.09.2022; ;10; 6;15;41;12;13;--;--;5;6622146;865551; 43.950.736,80;         1; 9.783.563,50;         2; 1.738.010,80;        68;    11.777,30;       471;     5.068,30;     3.925;       168,70;    32.311;        48,60;    73.550;        18,20;   610.293;        10,30;   546.328;         6,00
28.09.2022; ;33;12;13;44;49; 4;--;--;6;4629645;159707; 20.741.592,00;   Jackpot; 1.555.619,40;         3;   364.719,90;        21;    18.062,30;       310;     3.647,10;     1.774;       176,80;    15.148;        49,10;    32.904;        19,20;   280.262;        10,60;   253.463;         6,00
01.10.2022; ;49;43;19; 1; 3;37;--;--;0;3185446;643344; 56.061.866,40;   Jackpot; 5.760.259,30;         3; 1.031.692,10;        77;    13.934,50;       909;     3.518,40;     4.651;       190,70;    49.568;        42,40;    79.539;        22,50;   871.752;         9,70;   532.075;         6,00
05.10.2022; ;49;37; 9;38;10;17;--;--;5;6626415;801838; 21.821.295,60;   Jackpot; 7.396.856,40;   Jackpot; 1.143.341,10;        27;    14.679,90;       252;     4.688,30;     1.671;       196,10;    14.004;        55,50;    34.926;        18,90;   299.177;        10,40;   275.296;         6,00
08.10.2022; ; 8;15;38;49; 7;36;--;--;7;4577732;575806; 44.807.996,40;   Jackpot;10.757.456,10;         1; 3.423.776,10;        68;    11.625,70;       470;     5.013,70;     4.089;       159,80;    25.188;        61,50;    78.850;        16,70;   510.840;        12,20;   640.083;         6,00
12.10.2022; ;48;26;16;35;49;21;--;--;2;1797313;134967; 23.162.631,60;   Jackpot;12.494.653,40;         1; 1.285.964,40;        19;    23.463,20;       204;     6.513,80;     1.258;       293,00;    12.888;        67,80;    25.693;        29,00;   259.392;        13,50;   211.837;         6,00
15.10.2022; ;37;48;11;29;32;43;--;--;7;0846927;846425; 45.927.776,40;   Jackpot;15.939.236,60;   Jackpot; 2.388.821,80;        73;    11.344,10;       489;     5.047,90;     3.797;       180,30;    27.190;        59,70;    75.113;        18,40;   520.725;        12,50;   598.971;         6,00
19.10.2022; ;40;36;23; 1;15;49;--;--;2;8541002;842221; 24.074.192,40;   Jackpot;17.744.801,00;         1; 3.733.971,90;        18;    25.906,50;       255;     5.450,90;     1.299;       296,80;    13.336;        68,50;    26.037;        29,90;   268.636;        13,70;   210.644;         6,00
22.10.2022; ;31; 4;14; 1;46;24;--;--;1;4338362;425217; 47.162.679,60;         1;21.282.001,90;         2; 1.301.067,30;        60;    15.034,50;       532;     5.054,20;     3.311;       225,20;    33.176;        53,30;    59.938;        25,10;   614.583;        11,60;   449.429;         6,00
26.10.2022; ;32;46;16;21;23;24;--;--;1;0592419;562935; 20.911.560,00;   Jackpot; 1.568.367,00;   Jackpot; 1.168.592,80;        20;    20.255,60;       197;     6.129,60;     1.200;       279,10;    12.817;        61,90;    23.514;        28,80;   265.855;        12,00;   182.799;         6,00
29.10.2022; ;11;20; 9; 5;13;34;--;--;7;5438040;567861; 44.223.207,60;         1; 4.885.107,50;         2; 1.687.145,20;        96;     7.965,00;       707;     3.223,70;     5.882;       107,40;    41.474;        36,10;    99.616;        12,80;   701.427;         8,60;   681.702;         6,00
02.11.2022; ; 9;48;17;16;15;21;--;--;1;2562234;511034; 20.750.260,80;         1; 2.713.166,50;        --;           --;        11;    36.459,70;       161;     7.425,20;     1.053;       314,90;    11.439;        68,70;    22.136;        30,30;   244.480;        12,90;   184.369;         6,00
